EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
9985034,COLORADO,1992,June,Thunderstorm Wind,C,LARIMER,0,0,0,0,0,0
9985035,COLORADO,1992,June,Tornado,C,EL PASO,0,0,0,0,0K,0
9985036,COLORADO,1992,June,Tornado,C,KIT CARSON,0,0,0,0,0K,0
9985037,COLORADO,1992,June,Thunderstorm Wind,C,MONTROSE,0,0,0,0,0,0
9985038,COLORADO,1992,June,Tornado,C,EL PASO,0,0,0,0,0K,0
9985040,COLORADO,1992,June,Tornado,C,WELD,0,0,0,0,0K,0
9985041,COLORADO,1992,June,Tornado,C,WELD,0,0,0,0,0K,0
9985042,COLORADO,1992,June,Tornado,C,MORGAN,0,0,0,0,0K,0
9985043,COLORADO,1992,June,Tornado,C,LOGAN,0,0,0,0,0K,0
9985044,COLORADO,1992,June,Tornado,C,WASHINGTON,0,0,0,0,0K,0
9985045,COLORADO,1992,June,Tornado,C,LINCOLN,0,0,0,0,0K,0
9985046,COLORADO,1992,June,Tornado,C,EL PASO,0,0,0,0,0K,0
9985047,COLORADO,1992,July,Tornado,C,ARAPAHOE,0,0,0,0,0K,0
9985048,COLORADO,1992,July,Tornado,C,ARAPAHOE,0,0,0,0,0K,0
9985049,COLORADO,1992,July,Tornado,C,WASHINGTON,0,0,0,0,0K,0
9985051,COLORADO,1992,July,Tornado,C,EL PASO,0,0,0,0,0K,0
9985052,COLORADO,1992,July,Thunderstorm Wind,C,EL PASO,0,0,0,0,0,0
9985053,COLORADO,1992,July,Thunderstorm Wind,C,MORGAN,0,0,0,0,0,0
9985054,COLORADO,1992,July,Tornado,C,LINCOLN,0,0,0,0,2.5K,0
9985055,COLORADO,1992,July,Tornado,C,YUMA,0,0,0,0,0K,0
9985056,COLORADO,1992,July,Tornado,C,YUMA,0,0,0,0,0K,0
9985058,COLORADO,1992,July,Thunderstorm Wind,C,ARAPAHOE,0,0,0,0,0,0
9985059,COLORADO,1992,July,Tornado,C,SAGUACHE,0,0,0,0,2.5K,0
9985060,COLORADO,1992,July,Thunderstorm Wind,C,PHILLIPS,0,0,0,0,0,0
9985061,COLORADO,1992,August,Tornado,C,ADAMS,0,0,0,0,0K,0
9985062,COLORADO,1992,August,Thunderstorm Wind,C,ADAMS,0,0,0,0,0,0
9985063,COLORADO,1992,August,Thunderstorm Wind,C,ADAMS,0,0,0,0,0,0
9985064,COLORADO,1992,August,Thunderstorm Wind,C,ADAMS,0,0,0,0,0,0
9982724,ALABAMA,1992,June,Thunderstorm Wind,C,MACON,0,0,0,0,0,0
