EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
9984134,ARIZONA,1990,July,Thunderstorm Wind,C,MARICOPA,0,0,0,0,0,0
10070939,MISSOURI,1990,May,Hail,C,VERNON,0,0,0,0,0,0
10046816,LOUISIANA,1990,December,Hail,C,BIENVILLE,0,0,0,0,0,0
9981938,ALABAMA,1990,April,Thunderstorm Wind,C,BARBOUR,0,0,0,0,0,0
10037649,KANSAS,1990,March,Hail,C,SHAWNEE,0,0,0,0,0,0
10034505,KANSAS,1990,July,Hail,C,GRANT,0,0,0,0,0,0
10064558,MISSISSIPPI,1990,May,Thunderstorm Wind,C,JASPER,0,0,0,0,0,0
10079980,NEBRASKA,1990,June,Hail,C,BUFFALO,0,0,0,0,0,0
10079981,NEBRASKA,1990,June,Hail,C,SHERMAN,0,0,0,0,0,0
10036430,KANSAS,1990,June,Hail,C,BROWN,0,0,0,0,0,0
10036431,KANSAS,1990,June,Hail,C,BROWN,0,0,0,0,0,0
10049091,MINNESOTA,1990,June,Tornado,C,GOODHUE,0,0,0,0,25K,0
10041359,MASSACHUSETTS,1990,May,Tornado,C,NORFOLK,0,0,0,0,2.5K,0
10064492,MISSISSIPPI,1990,February,Thunderstorm Wind,C,MADISON,0,0,0,0,0,0
10079982,NEBRASKA,1990,June,Hail,C,BOONE,0,0,0,0,0,0
10079983,NEBRASKA,1990,June,Hail,C,SHERMAN,0,0,0,0,0,0
10079984,NEBRASKA,1990,June,Hail,C,HOWARD,0,0,0,0,0,0
10079985,NEBRASKA,1990,June,Tornado,C,HOWARD,0,0,0,0,2.5K,0
10079986,NEBRASKA,1990,June,Thunderstorm Wind,C,COLFAX,0,0,0,0,0,0
10079987,NEBRASKA,1990,June,Thunderstorm Wind,C,MERRICK,0,0,0,0,0,0
10079988,NEBRASKA,1990,June,Tornado,C,PLATTE,0,0,0,0,25K,0
10061272,MISSISSIPPI,1990,December,Thunderstorm Wind,C,HARRISON,5,0,0,0,0,0
10080008,NEBRASKA,1990,June,Hail,C,LINCOLN,0,0,0,0,0,0
10080009,NEBRASKA,1990,June,Hail,C,MORRILL,0,0,0,0,0,0
10080010,NEBRASKA,1990,June,Tornado,C,RED WILLOW,0,0,0,0,2.5M,0
10080011,NEBRASKA,1990,June,Hail,C,LINCOLN,0,0,0,0,0,0
10080012,NEBRASKA,1990,June,Tornado,C,GOSPER,0,0,0,0,0K,0
10080013,NEBRASKA,1990,June,Tornado,C,GOSPER,0,0,0,0,0K,0
10080014,NEBRASKA,1990,June,Tornado,C,THAYER,0,0,0,0,25K,0
10080015,NEBRASKA,1990,June,Thunderstorm Wind,C,THAYER,0,0,0,0,0,0
10080016,NEBRASKA,1990,June,Tornado,C,BUFFALO,0,0,0,0,25K,0
10080017,NEBRASKA,1990,June,Tornado,C,SHERMAN,0,0,0,0,0K,0
10080018,NEBRASKA,1990,June,Hail,C,DAWES,0,0,0,0,0,0
10080019,NEBRASKA,1990,June,Hail,C,KNOX,0,0,0,0,0,0
10080020,NEBRASKA,1990,June,Tornado,C,HOLT,0,0,0,0,250K,0
10080021,NEBRASKA,1990,June,Tornado,C,HOLT,0,0,0,0,250K,0
10080022,NEBRASKA,1990,June,Hail,C,HARLAN,0,0,0,0,0,0
10080023,NEBRASKA,1990,June,Tornado,C,HARLAN,0,0,0,0,0K,0
10080024,NEBRASKA,1990,June,Tornado,C,HARLAN,0,0,0,0,25K,0
10080025,NEBRASKA,1990,June,Tornado,C,FRANKLIN,0,0,0,0,2.5K,0
10080026,NEBRASKA,1990,June,Tornado,C,SHERMAN,0,0,0,0,25K,0
10080027,NEBRASKA,1990,June,Hail,C,VALLEY,0,0,0,0,0,0
10080028,NEBRASKA,1990,June,Thunderstorm Wind,C,FRANKLIN,0,0,0,0,0,0
10080029,NEBRASKA,1990,June,Thunderstorm Wind,C,NANCE,0,0,0,0,0,0
10080030,NEBRASKA,1990,June,Tornado,C,NUCKOLLS,0,0,0,0,0K,0
10080830,NEW MEXICO,1990,May,Hail,C,EDDY,0,0,0,0,0,0
10080831,NEW MEXICO,1990,May,Tornado,C,DE BACA,0,0,0,0,0K,0
10080031,NEBRASKA,1990,June,Hail,C,DAWES,0,0,0,0,0,0
10080032,NEBRASKA,1990,June,Tornado,C,PLATTE,0,0,0,0,250K,0
10080033,NEBRASKA,1990,June,Tornado,C,BOONE,0,0,0,0,250K,0
10080005,NEBRASKA,1990,June,Hail,C,PERKINS,0,0,0,0,0,0
10080006,NEBRASKA,1990,June,Hail,C,KIMBALL,0,0,0,0,0,0
10080007,NEBRASKA,1990,June,Tornado,C,HITCHCOCK,1,0,0,0,2.5M,0
9985739,DISTRICT OF COLUMBIA,1990,October,Thunderstorm Wind,C,DISTRICT OF COLUMBIA,1,0,0,0,0,0
10069819,MISSOURI,1990,March,Thunderstorm Wind,C,RAY,0,0,0,0,0,0
10080034,NEBRASKA,1990,June,Tornado,C,WEBSTER,0,0,0,0,0K,0
10044948,MAINE,1990,June,Thunderstorm Wind,C,YORK,0,0,0,0,0,0
10043421,LOUISIANA,1990,April,Thunderstorm Wind,C,MADISON,0,0,0,0,0,0
10046730,LOUISIANA,1990,February,Hail,C,TENSAS,0,0,0,0,0,0
10063467,MISSISSIPPI,1990,May,Thunderstorm Wind,C,COPIAH,0,0,0,0,0,0
10044543,LOUISIANA,1990,May,Hail,C,JACKSON,0,0,0,0,0,0
10070381,MONTANA,1990,July,Thunderstorm Wind,C,CHOUTEAU,0,0,0,0,0,0
10035477,KANSAS,1990,May,Tornado,C,MONTGOMERY,0,0,0,0,0K,0
10099498,OHIO,1990,June,Thunderstorm Wind,C,MEDINA,0,0,0,0,0,0
10082240,NEBRASKA,1990,May,Thunderstorm Wind,C,OTOE,0,0,0,0,0,0
10088941,NORTH CAROLINA,1990,May,Hail,C,RUTHERFORD,0,0,0,0,0,0
10101035,OKLAHOMA,1990,May,Hail,C,WOODWARD,0,0,0,0,0,0
9993252,ARKANSAS,1990,June,Thunderstorm Wind,C,CRITTENDEN,0,0,0,0,0,0
10027337,IOWA,1990,March,Tornado,C,DUBUQUE,0,0,0,0,25K,0
10087382,NORTH CAROLINA,1990,August,Thunderstorm Wind,C,ROBESON,0,0,0,0,0,0
10111155,SOUTH CAROLINA,1990,June,Thunderstorm Wind,C,PICKENS,0,0,0,0,0,0
10099627,OHIO,1990,September,Thunderstorm Wind,C,WASHINGTON,0,0,0,0,0,0
9996527,GEORGIA,1990,May,Thunderstorm Wind,C,LEE,0,0,0,0,0,0
10104185,OKLAHOMA,1990,June,Hail,C,PAYNE,0,0,0,0,0,0
10086368,NORTH DAKOTA,1990,June,Thunderstorm Wind,C,STARK,0,0,0,0,0,0
10090678,NORTH CAROLINA,1990,June,Thunderstorm Wind,C,ONSLOW,0,0,0,0,0,0
10121976,TENNESSEE,1990,July,Hail,C,LOUDON,0,0,0,0,0,0
10104217,OKLAHOMA,1990,August,Thunderstorm Wind,C,CANADIAN,0,0,0,0,0,0
10103291,OKLAHOMA,1990,May,Hail,C,CREEK,0,0,0,0,0,0
10035509,KANSAS,1990,May,Hail,C,LANE,0,0,0,0,0,0
10078877,NEBRASKA,1990,June,Hail,C,BOX BUTTE,0,0,0,0,0,0
9999073,FLORIDA,1990,July,Hail,C,HILLSBOROUGH,0,0,0,0,0,0
9996132,GEORGIA,1990,February,Thunderstorm Wind,C,FULTON,0,0,0,0,0,0
10019040,INDIANA,1990,June,Hail,C,KOSCIUSKO,0,0,0,0,0,0
10019092,INDIANA,1990,August,Thunderstorm Wind,C,WABASH,0,0,0,0,0,0
10046803,LOUISIANA,1990,December,Thunderstorm Wind,C,WASHINGTON,0,0,0,0,0,0
10077748,NEW YORK,1990,June,Thunderstorm Wind,C,MADISON,0,0,0,0,0,0
10055249,MICHIGAN,1990,September,Thunderstorm Wind,C,WAYNE,0,0,0,0,0,0
10018835,INDIANA,1990,June,Thunderstorm Wind,C,GREENE,0,0,0,0,0,0
9993290,ARKANSAS,1990,August,Thunderstorm Wind,C,CLARK,0,0,0,0,0,0
9999538,FLORIDA,1990,September,Thunderstorm Wind,C,COLUMBIA,0,0,0,0,0,0
9997271,GEORGIA,1990,February,Thunderstorm Wind,C,HOUSTON,0,0,0,0,0,0
10120842,TENNESSEE,1990,April,Thunderstorm Wind,C,GIBSON,0,0,0,0,0,0
10084405,NORTH DAKOTA,1990,August,Thunderstorm Wind,C,WALSH,0,0,0,0,0,0
10112027,SOUTH CAROLINA,1990,July,Hail,C,SPARTANBURG,0,0,0,0,0,0
10121948,TENNESSEE,1990,June,Thunderstorm Wind,C,PICKETT,0,0,0,0,0,0
10078591,NEW MEXICO,1990,July,Thunderstorm Wind,C,TORRANCE,0,0,0,0,0,0
10007018,GEORGIA,1990,September,Thunderstorm Wind,C,CHEROKEE,0,0,0,0,0,0
9997612,GEORGIA,1990,July,Thunderstorm Wind,C,POLK,0,0,0,0,0,0
10114930,PENNSYLVANIA,1990,June,Hail,C,ERIE,0,0,0,0,0,0
10104349,OKLAHOMA,1990,April,Hail,C,ELLIS,0,0,0,0,0,0
10102819,OKLAHOMA,1990,May,Thunderstorm Wind,C,MCINTOSH,0,0,0,0,0,0
10103378,OKLAHOMA,1990,June,Hail,C,POTTAWATOMIE,0,0,0,0,0,0
10113161,SOUTH CAROLINA,1990,August,Thunderstorm Wind,C,LEE,0,0,0,0,0,0
10086383,NORTH DAKOTA,1990,June,Thunderstorm Wind,C,WILLIAMS,0,0,0,0,0,0
10103660,OKLAHOMA,1990,June,Hail,C,MAJOR,0,0,0,0,0,0
10043493,LOUISIANA,1990,December,Thunderstorm Wind,C,FRANKLIN,0,0,0,0,0,0
10036678,KANSAS,1990,June,Thunderstorm Wind,C,MARSHALL,0,0,0,0,0,0
9998454,FLORIDA,1990,August,Thunderstorm Wind,C,HIGHLANDS,0,0,0,0,0,0
10024912,IOWA,1990,June,Thunderstorm Wind,C,O'BRIEN,0,0,0,0,0,0
10029489,KENTUCKY,1990,July,Thunderstorm Wind,C,HART,0,0,0,0,0,0
9990370,ARKANSAS,1990,May,Hail,C,HOWARD,0,0,0,0,0,0
10136925,TEXAS,1990,October,Thunderstorm Wind,C,HENDERSON,0,0,0,0,0,0
